scene,lpips,psnr,ssim
chair,0.027628509859953607,27.35348401750837,0.9596708757536752
lego,0.03485285331095968,26.663433074951172,0.9506971410342625
materials,0.030222819053700993,25.624543053763254,0.9460967694010053
drums,0.06564709331308093,21.583227157592773,0.9034252422196525
average,0.039587818884423795,25.306171825953893,0.939972507102149
